id,create_time,user_name,song,song_id,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6871082015760846086,1599798472,kaylieleass,FOLLOW KAYLIELEASS,6871028936441203462,1500000,1626,3208,8000000,5100000,155400000,217
6877246827146546437,1601233842,hannahmariemua,FOLLOW KAYLIELEASS,6871028936441203462,444300,393,758,2400000,21200,605900,138
6892853897359052037,1604867643,_acrylic.nails,FOLLOW KAYLIELEASS,6871028936441203462,400400,224,1090,2300000,13900,448300,9
6877125588629327105,1601205579,kirsty.belle,FOLLOW KAYLIELEASS,6871028936441203462,91500,126,231,1200000,471100,16400000,1038
6871243878301781254,1599836158,hal_elizabethhhh,FOLLOW KAYLIELEASS,6871028936441203462,22300,36,148,320200,376700,4700000,349
6886089344390630658,1603292616,caradowntonn,FOLLOW KAYLIELEASS,6871028936441203462,19900,40,83,164700,550800,17000000,558
6889739448813112577,1604142472,mxcey_makeup,FOLLOW KAYLIELEASS,6871028936441203462,9405,5,129,46800,270,10400,6
6871307373332466946,1599850925,coniyare,FOLLOW KAYLIELEASS,6871028936441203462,8092,6,22,91800,10900,200200,42
6882569715936414982,1602473182,plutoautumn,FOLLOW KAYLIELEASS,6871028936441203462,2814,13,20,21800,115600,1400000,112
6883513491894963457,1602692879,hanaglam1,FOLLOW KAYLIELEASS,6871028936441203462,1761,0,30,22100,13400,218800,156
6878966008258874626,1601634085,launchinglife,FOLLOW KAYLIELEASS,6871028936441203462,1247,0,27,8779,284,6383,431
6873523098277186817,1600366810,makeupbymuireann,FOLLOW KAYLIELEASS,6871028936441203462,1005,1,3,30300,2903,75700,40
6889350574907690241,1604051931,_roblox_aesthetic01,FOLLOW KAYLIELEASS,6871028936441203462,890,0,30,4659,2832,29200,27
6888093955632680198,1603759379,zoe_zogleman,FOLLOW KAYLIELEASS,6871028936441203462,836,1,17,5222,10200,108000,224
6877212145029778694,1601225778,audra_maee,FOLLOW KAYLIELEASS,6871028936441203462,601,2,36,3600,113800,1600000,2193
6878403418164104454,1601503127,sugest_games_izzy,FOLLOW KAYLIELEASS,6871028936441203462,599,0,4,21000,9594,128500,75
6871978976508710146,1600007290,..cosy.aesthetics_,FOLLOW KAYLIELEASS,6871028936441203462,413,0,28,12800,67,887,9
6878243861836156165,1601466151,chars.p3mb,FOLLOW KAYLIELEASS,6871028936441203462,387,0,9,3401,2128,1769,50
6871945993126989058,1599999611,x.fruity..rxblox.x,FOLLOW KAYLIELEASS,6871028936441203462,387,1,10,10100,547,3340,36
6884669228423597313,1602961970,cellloooo.os,FOLLOW KAYLIELEASS,6871028936441203462,364,2,3,2754,3375,75200,505
6880506470572559618,1601992751,mirunaburduja,FOLLOW KAYLIELEASS,6871028936441203462,352,0,4,2630,8447,293200,171
6871697023054155014,1599941654,cube.surferrr88,FOLLOW KAYLIELEASS,6871028936441203462,345,1,3,6745,16500,197200,15
6871213871743503622,1599829191,._.wolfy_gacha._,FOLLOW KAYLIELEASS,6871028936441203462,321,1,4,2839,2215,18100,140
6871251830182006022,1599838008,storytimesubwaysurfer_,FOLLOW KAYLIELEASS,6871028936441203462,269,1,2,2529,6386,39600,144
6871470280066288901,1599888871,raw.doll.nii,FOLLOW KAYLIELEASS,6871028936441203462,265,0,47,10400,678,1037,50
6871085315864497413,1599799243,aubreycurry1021,FOLLOW KAYLIELEASS,6871028936441203462,261,0,16,8072,2235,16100,161
6883292823827811589,1602641536,roblox_for_life.x.x,FOLLOW KAYLIELEASS,6871028936441203462,253,0,3,11300,59,643,7
6871097525831470341,1599802089,kyrraa.l,FOLLOW KAYLIELEASS,6871028936441203462,206,35,4,3853,4750,278000,79
6876885390997998854,1601149690,airzmelio,FOLLOW KAYLIELEASS,6871028936441203462,197,0,17,2796,4416,17600,283
6877540427017276673,1601302165,_hannahhart,FOLLOW KAYLIELEASS,6871028936441203462,189,0,5,1469,445,9423,71
6874618430914301189,1600621858,makeup_by_lindsay,FOLLOW KAYLIELEASS,6871028936441203462,184,0,16,1899,157,1202,21
6877260233652145410,1601236930,sobernicole,FOLLOW KAYLIELEASS,6871028936441203462,178,1,3,1328,1445,147500,233
6884629949739781377,1602952827,fidgets.tiktok,FOLLOW KAYLIELEASS,6871028936441203462,153,6,2,2904,36,445,5
6878210096313175297,1601458086,subwaysurferstorytime42,FOLLOW KAYLIELEASS,6871028936441203462,154,0,3,1584,155,1667,8
