id,create_time,user_name,song,song_id,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6809409099348905221,1585439104,rawwfishingyt,Nonstop,6801699011402156806,3500000,14100,10600,59300000,1200000,24500000,163
6844193728215780614,1593538033,liampayne,Nonstop,6801699011402156806,1800000,51000,52300,7800000,3900000,54500000,70
6801704644750888198,1583645282,nbcsnl,Nonstop,6801699011402156806,1800000,139700,12700,15800000,1500000,8600000,27
6807124645054074117,1584907213,king.science,Nonstop,6801699011402156806,1600000,21900,14700,10800000,9500000,141900000,100
6817033893879844101,1587214392,gilberthoy,Nonstop,6801699011402156806,1500000,2397,2795,36400000,695400,9100000,366
6839363340964203782,1592413371,pitchalerts,Nonstop,6801699011402156806,1200000,10400,1493,22300000,80300,2100000,760
6814171052780932358,1586547834,dovecameron,Nonstop,6801699011402156806,909200,1669,5756,4600000,4400000,23600000,30
6862690651989921025,1597844692,messi10_fan10,Nonstop,6801699011402156806,801000,3591,694,14100000,54900,809000,44
6823836053619707141,1588798144,a_charaeee,Nonstop,6801699011402156806,729700,31000,8196,4900000,43800,893900,237
6814696053988773125,1586670074,yanweiguo,Nonstop,6801699011402156806,673500,2466,2464,16800000,87300,1100000,313
6812663732733250822,1586196884,anitta,Nonstop,6801699011402156806,595800,1855,2809,10600000,9100000,34500000,116
6806298802924932358,1584714933,goldenretrieverlife,Nonstop,6801699011402156806,503600,90200,4432,5700000,1400000,30700000,338
6825703886339312901,1589233037,abskincare,Nonstop,6801699011402156806,471000,17200,1650,9400000,213600,919700,53
6818966224152628486,1587664296,breakanklesdaily,Nonstop,6801699011402156806,427900,2532,2020,2100000,2500000,109800000,1605
6818170220922948870,1587478963,defranciafamily,Nonstop,6801699011402156806,415600,1416,3557,1800000,708100,10600000,53
6860845836528536838,1597415158,escapetracks,Nonstop,6801699011402156806,407800,2005,1500,4500000,486100,15200000,420
6809314327494003974,1585417039,brianaking_,Nonstop,6801699011402156806,375400,11800,1253,1900000,399800,10100000,130
6818975237254745350,1587666395,realdockery,Nonstop,6801699011402156806,349300,2393,1566,1700000,2000000,35500000,148
6810822337445907718,1585768151,hollywire,Nonstop,6801699011402156806,318800,1377,976,2900000,918500,33000000,350
6809726982763318534,1585513117,anthonyriveras,Nonstop,6801699011402156806,287600,484,383,1100000,5400000,141400000,418
6853933655568518406,1595805787,drip,Nonstop,6801699011402156806,275900,837,438,5000000,1900000,19600000,241
6805610411455548677,1584554653,derekhough,Nonstop,6801699011402156806,275600,8039,1442,4200000,4300000,43600000,322
6815637976761011461,1586889379,ashleynocera,Nonstop,6801699011402156806,275400,505,931,2100000,8900000,181900000,554
6806088144711191813,1584665886,cyrusdobre,Nonstop,6801699011402156806,250200,704,1105,2000000,7000000,69700000,176
6814258591072046341,1586568217,overtimefc,Nonstop,6801699011402156806,236500,1920,564,3600000,2600000,106600000,915
6811209754946424070,1585858352,slam,Nonstop,6801699011402156806,227900,1540,521,2100000,1600000,75300000,1393
6810046420456885509,1585587493,garmezyglass,Nonstop,6801699011402156806,220400,316,854,11000000,1100000,20500000,264
6842462328127032581,1593134911,b_fusano,Nonstop,6801699011402156806,205600,395,1440,2900000,153500,2800000,105
6821917894775950598,1588351535,peetmontzingo,Nonstop,6801699011402156806,203900,2113,1201,1900000,3500000,97400000,149
6820931507624938758,1588121874,kendalac,Nonstop,6801699011402156806,202200,4134,10400,2300000,7744,1100000,46
6807911283015355653,1585090367,therealnikkibella,Nonstop,6801699011402156806,184600,2030,2320,2800000,700700,3600000,13
6806823478264696070,1584837094,bazziofficial,Nonstop,6801699011402156806,177000,1964,751,1600000,791700,4800000,21
6809686790354537734,1585503760,doctoremma,Nonstop,6801699011402156806,176000,325,437,1200000,301300,3900000,152
6809454922791423237,1585449774,normyj33,Nonstop,6801699011402156806,175800,13700,2062,1500000,4905,176800,11
6832233280906071301,1590753274,fliplab.graz,Nonstop,6801699011402156806,168400,2036,2076,1000000,40700,841100,39
6857365317534944517,1596604795,rap,Nonstop,6801699011402156806,164500,1906,1137,1400000,3600000,122700000,1818
6811576174020414725,1585943667,jessroan,Nonstop,6801699011402156806,163900,5378,2336,859200,3244,165400,14
6844463846745181446,1593600926,mikepairs,Nonstop,6801699011402156806,155500,4969,5171,636000,50700,1500000,46
6830885053535358214,1590439364,pizzifosheezy,Nonstop,6801699011402156806,155100,2843,1521,2000000,92700,792800,250
6835588652412701957,1591534507,cinematicgta5,Nonstop,6801699011402156806,152500,896,423,4000000,242700,4000000,674
6819463744486231302,1587780134,samuelkimofficial,Nonstop,6801699011402156806,149000,399,1157,738500,1400000,19500000,94
6824357593440423173,1588919577,user05310082,Nonstop,6801699011402156806,141800,695,761,2200000,553700,6400000,431
6823098548746341637,1588626428,gaming,Nonstop,6801699011402156806,136400,2847,645,684900,4200000,211400000,1905
6863464826203622661,1598024939,je_sea_ka,Nonstop,6801699011402156806,133500,10800,0,3700000,75100,181300,90
6813146687448616198,1586309330,muawk,Nonstop,6801699011402156806,131100,7578,2223,1900000,1700000,45600000,671
6808683716219505926,1585270213,tmoney_87,Nonstop,6801699011402156806,125900,3776,1426,2800000,17200,125900,1
6819827816801029381,1587864904,tiacocoloso,Nonstop,6801699011402156806,122600,246,365,987700,467,123000,18
6820274840331767045,1587968987,maksimchmerkovskiy,Nonstop,6801699011402156806,120300,2121,724,2500000,28700,148300,8
6810541687895575814,1585702806,zachv_pat,Nonstop,6801699011402156806,119800,576,757,905400,5200000,141100000,558
6824185198989593861,1588879433,wrenano,Nonstop,6801699011402156806,118300,404,373,1100000,268900,6800000,351
6821414279397346565,1588234282,justking_real,Nonstop,6801699011402156806,115700,135,215,727500,833000,13500000,156
6825296462214221061,1589138169,sydneymelhoff,Nonstop,6801699011402156806,114700,893,537,936200,49300,2700000,96
6815137357365316870,1586772821,rustam_mayer_djavid,Nonstop,6801699011402156806,114500,1702,786,995000,1700000,10600000,59
6808963389499395334,1585335330,kruzadar,Nonstop,6801699011402156806,109200,201,0,938100,2000000,71500000,791
6815313020856569094,1586813719,dallrulz,Nonstop,6801699011402156806,103200,1455,2611,355700,541700,14400000,256
6875296490567273730,1600779710,mahmoudelshemyii,Nonstop,6801699011402156806,102400,263,999,1100000,3000000,34900000,329
6812778796291312901,1586223675,lucaslucco,Nonstop,6801699011402156806,101200,1055,751,929600,2400000,4500000,42
6895358475203841286,1605450853,liswonder,Nonstop,6801699011402156806,89400,340,559,1500000,353800,1400000,153
6809739298858994950,1585515985,safarisiblings,Nonstop,6801699011402156806,89300,748,268,1900000,1400000,10000000,277
6807586854691491077,1585014832,jessandgabriel,Nonstop,6801699011402156806,88800,1671,391,784100,402900,3900000,36
6840052006015618310,1592573714,gaming,Nonstop,6801699011402156806,87100,547,662,372900,4200000,211400000,1905
6817848352902810885,1587404021,jeremycohen,Nonstop,6801699011402156806,86300,208,257,610700,1100000,21400000,56
6810484222818536709,1585689426,highschool_hoops,Nonstop,6801699011402156806,85000,260,111,294500,269500,10600000,101
6814497290221309189,1586623792,natalia_vidinovski,Nonstop,6801699011402156806,84400,603,371,714300,481800,7000000,253
6805933498722012422,1584629879,yakari7,Nonstop,6801699011402156806,84000,410,942,1000000,2700000,120900000,1822
6817266319444970757,1587268507,lifeasmj_,Nonstop,6801699011402156806,81600,1332,190,2000000,11200,85900,24
6875387537959980289,1600800909,chourouk.model,Nonstop,6801699011402156806,81500,268,662,1600000,1700000,13500000,406
6851930922065972485,1595339490,montazer999,Nonstop,6801699011402156806,80000,2710,1641,1700000,45400,298200,280
6831213727493147909,1590515891,the_motovated_life,Nonstop,6801699011402156806,77400,68,78,401000,1600000,15600000,309
6822142814172843270,1588403905,zainblakee,Nonstop,6801699011402156806,75900,330,411,607800,208600,1600000,204
6821869760217615622,1588340328,finley__tapp,Nonstop,6801699011402156806,75900,438,356,820200,350500,1300000,8
6812763105202949381,1586220022,thestradman,Nonstop,6801699011402156806,70700,1087,1295,1200000,1400000,11400000,27
