id,create_time,user_name,song,song_id,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6634494206272343302,1544713556,chivalroustube,Tactical Christmas,6634496820561054469,502700,9625,3421,3500000,411000,6900000,458
6768188988441332998,1575841802,jamescharles,Tactical Christmas,6634496820561054469,7700000,120800,78600,1700000000,28200000,621500000,179
6813031587630828805,1586282530,dina,Tactical Christmas,6634496820561054469,5300000,84400,42100,33800000,16900000,591300000,1057
6757868518345133318,1573438881,nut.samm,Tactical Christmas,6634496820561054469,4700000,234700,23500,28400000,200700,5000000,87
6814493147549289734,1586622826,dina,Tactical Christmas,6634496820561054469,2100000,35500,21200,12300000,16900000,591300000,1057
6754857219436612870,1572737757,xmas_season_vibes,Tactical Christmas,6634496820561054469,2000000,54600,8522,11200000,108400,2700000,57
6891044122812058882,1604446243,kierwhitee,Tactical Christmas,6634496820561054469,1700000,31000,9718,8800000,43800,1700000,4
6771928716776934661,1576712526,lexfet,Tactical Christmas,6634496820561054469,1600000,23300,4757,8700000,22900,1600000,30
6890344823371435265,1604283424,uhitsemm,Tactical Christmas,6634496820561054469,1500000,36000,19900,7200000,75500,2500000,174
6892814844316192005,1604858556,tooturnttony,Tactical Christmas,6634496820561054469,1400000,15000,6541,8200000,5100000,174100000,439
6755624513804733701,1572916408,peytonmorrisonn,Tactical Christmas,6634496820561054469,1100000,27900,3300,6900000,76100,2200000,193
6759314500454763782,1573775550,jimmybarreraa,Tactical Christmas,6634496820561054469,807300,7869,2004,4300000,25800,1400000,31
6833814739949292806,1591121485,ler_chek,Tactical Christmas,6634496820561054469,677700,3133,1336,12900000,1900000,22000000,227
6765300099875638534,1575169180,joeywhitley,Tactical Christmas,6634496820561054469,640000,9837,4268,2600000,11600,770000,80
6763018279997967622,1574637903,apoww99,Tactical Christmas,6634496820561054469,547300,17500,2515,4200000,22100,571500,7
6814477720068590854,1586619235,anna_ix_,Tactical Christmas,6634496820561054469,508300,13900,6513,5100000,1700000,67000000,639
6878281064729660674,1601474609,klavacoca,Tactical Christmas,6634496820561054469,506300,767,2758,3000000,6000000,104100000,325
6770820816402697477,1576454572,kittydoodlebob,Tactical Christmas,6634496820561054469,476200,5552,1955,2100000,80600,1900000,83
6771844624894954757,1576692945,helenyes1,Tactical Christmas,6634496820561054469,467300,1560,1467,3200000,2200000,40000000,847
6765970405233544454,1575325248,patrickstarrr,Tactical Christmas,6634496820561054469,378600,3834,2053,1900000,2500000,34800000,151
6762569613139037445,1574533438,carolinepoza,Tactical Christmas,6634496820561054469,367200,6779,1270,2600000,15700,482400,47
6760824720922381574,1574127175,madsheiniger18,Tactical Christmas,6634496820561054469,364800,5628,1166,1800000,25900,616100,34
6764820371788139781,1575057484,jenniet_pysh,Tactical Christmas,6634496820561054469,343300,14800,1159,2900000,10400,445600,50
6761246347128540422,1574225346,donatellahokic,Tactical Christmas,6634496820561054469,340700,9658,2040,4000000,46100,998700,29
