id,create_time,user_name,song,song_id,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6861303480984800518,1597521710,rachaelraerobertson,Stop! Wait a Minute,6508524011956210434,3600000,121500,26100,17600000,92000,5700000,256
6831016684552293638,1590470013,thisisaflac,Stop! Wait a Minute,6508524011956210434,3300000,103200,55500,23400000,706100,13900000,113
6871428813398576390,1599879204,jasonderulo,Stop! Wait a Minute,6508524011956210434,2700000,11200,9854,22200000,39300000,871200000,576
6866831054959906054,1598808701,lbeavs,Stop! Wait a Minute,6508524011956210434,2600000,18900,8218,11300000,1200000,30800000,319
6808925878576237829,1585326596,lance210,Stop! Wait a Minute,6508524011956210434,2500000,77100,12600,23400000,15000000,544100000,759
6817182097715760389,1587248899,lance210,Stop! Wait a Minute,6508524011956210434,2400000,11000,5423,18500000,15000000,544100000,759
6820131256991272197,1587935551,courtneyicurtis,Stop! Wait a Minute,6508524011956210434,2100000,116800,21900,16800000,69200,2100000,16
6800197808910568710,1583294439,brandonconner18,Stop! Wait a Minute,6508524011956210434,1900000,58100,5492,17300000,1700000,41900000,118
6860984856604577030,1597447526,va_girl757,Stop! Wait a Minute,6508524011956210434,1800000,51600,7694,13100000,21000,1800000,114
6797087724042996997,1582570316,starkmode,Stop! Wait a Minute,6508524011956210434,1600000,8159,10700,26000000,88500,1600000,19
6819425478156274949,1587771224,joealbanese,Stop! Wait a Minute,6508524011956210434,1500000,5752,5993,8800000,27100000,1100000000,1306
6798245827132361990,1582839954,worldstar,Stop! Wait a Minute,6508524011956210434,1500000,55100,3304,25300000,7600000,243100000,4074
6816767902188883206,1587152460,preston,Stop! Wait a Minute,6508524011956210434,1500000,9488,18500,19400000,5300000,38800000,83
6793793597620686085,1581803338,lelepons,Stop! Wait a Minute,6508524011956210434,1400000,3122,2561,9400000,18000000,322600000,260
6795651141624450309,1582235831,mjosephine_xoxo,Stop! Wait a Minute,6508524011956210434,1300000,34500,0,13800000,972200,18500000,236
6844215573354695941,1593543119,preston,Stop! Wait a Minute,6508524011956210434,1200000,7822,12600,11900000,5300000,38800000,83
6810347631018134790,1585657624,nalise.art,Stop! Wait a Minute,6508524011956210434,1200000,2951,9488,6300000,46500,2000000,39
6863566912928926982,1598048710,victoria.ashley_,Stop! Wait a Minute,6508524011956210434,1100000,18300,4301,11800000,195900,4800000,656
6864114078735011078,1598176109,mania4ka,Stop! Wait a Minute,6508524011956210434,1100000,21100,9322,6100000,42400,1800000,534
6862472074120744197,1597793795,meg.2020_,Stop! Wait a Minute,6508524011956210434,1100000,841,22100,6500000,86200,1900000,366
6829076792649714950,1590018348,tommysmiith,Stop! Wait a Minute,6508524011956210434,1000000,5270,6546,8900000,442600,5000000,40
6827595262509305094,1589673402,ananyachakk,Stop! Wait a Minute,6508524011956210434,1000000,31600,10900,4700000,13200,1000000,104
6837199681416678661,1591909604,janetestrada22,Stop! Wait a Minute,6508524011956210434,966200,460,2011,6900000,14200,1400000,109
6860204692018973958,1597265879,roeythegolden,Stop! Wait a Minute,6508524011956210434,964600,69000,5817,8200000,32600,1600000,81
6792656797887991045,1581538656,worldstar,Stop! Wait a Minute,6508524011956210434,961700,95300,5241,17000000,7600000,243100000,4074
6808209652120128773,1585159836,capitanyolotroll,Stop! Wait a Minute,6508524011956210434,958800,1331,3801,10800000,6500000,75700000,88
6880788101401283841,1602058325,mars0116,Stop! Wait a Minute,6508524011956210434,949600,5060,5749,23500000,196300,1300000,80
6874439324503461126,1600580152,hannahstocking,Stop! Wait a Minute,6508524011956210434,908100,3657,6754,7100000,19000000,552600000,488
6819830248452967686,1587865467,joealbanese,Stop! Wait a Minute,6508524011956210434,861300,1850,2574,6600000,27100000,1100000000,1306
6868693649518021889,1599242368,luizaparente,Stop! Wait a Minute,6508524011956210434,827600,1409,27100,6700000,4300000,94600000,1636
6830941653772160262,1590452543,two_tuxs_and_a_mau,Stop! Wait a Minute,6508524011956210434,819200,10600,2243,9700000,54500,834400,28
6853616608380783877,1595731969,soozer007,Stop! Wait a Minute,6508524011956210434,819000,728,6775,7000000,194100,9000000,1134
6823802691240709382,1588790374,tanner.witt,Stop! Wait a Minute,6508524011956210434,811300,5659,9246,8300000,3600000,97000000,1254
6817120033504759046,1587234446,joehattab,Stop! Wait a Minute,6508524011956210434,800000,2685,4207,19800000,1500000,13800000,215
6874960387205238017,1600701455,jullymolinna,Stop! Wait a Minute,6508524011956210434,788700,1027,17900,6300000,1700000,16000000,100
6860540364634295557,1597344034,backroads_barbie,Stop! Wait a Minute,6508524011956210434,788600,15900,12400,4500000,24900,847400,210
6866882034564975878,1598820571,riley_raccoon1,Stop! Wait a Minute,6508524011956210434,761800,35600,7564,4900000,166000,2000000,40
6799770386956373253,1583194922,alexymabi,Stop! Wait a Minute,6508524011956210434,754300,341,1054,3300000,2900000,30300000,57
6833578116393274629,1591066393,joealbanese,Stop! Wait a Minute,6508524011956210434,715300,600,1713,3100000,27100000,1100000000,1306
6792043257510595845,1581395808,devinwiencek,Stop! Wait a Minute,6508524011956210434,686100,23500,3284,4400000,13600,686600,2
6821817400359521542,1588328140,brfootball,Stop! Wait a Minute,6508524011956210434,677400,22700,1155,7000000,2200000,58800000,274
6838944416116362502,1592315833,scottsreality,Stop! Wait a Minute,6508524011956210434,672700,170300,17100,17800000,4300000,102100000,478
6809024951308291333,1585349663,itstaylerholder,Stop! Wait a Minute,6508524011956210434,670900,7040,3824,4800000,16700000,800500000,1876
6867927381210991877,1599063969,brooklyn.and.daisy,Stop! Wait a Minute,6508524011956210434,663600,7221,4277,3500000,949300,19800000,206
6873232369659153669,1600299125,stephaniemaykelley,Stop! Wait a Minute,6508524011956210434,659700,184,277,8000000,87500,1700000,77
6816359972767649029,1587057485,lucasvalentimmaximiliano,Stop! Wait a Minute,6508524011956210434,649100,41500,12500,7800000,33300,653000,47
6794928338449222917,1582067541,zachv_pat,Stop! Wait a Minute,6508524011956210434,641500,12300,1992,11400000,5100000,138700000,549
6833057264081964294,1590945123,galleryplay,Stop! Wait a Minute,6508524011956210434,634500,4113,1644,11100000,153200,2800000,329
6862885575511264518,1597890073,vic_oliveiraaaa,Stop! Wait a Minute,6508524011956210434,626400,13200,5513,3400000,59200,868600,21
6814437427537628422,1586609855,bridget050,Stop! Wait a Minute,6508524011956210434,617600,22000,6989,4500000,91300,695900,6
6814796709957242117,1586693505,paulius.naujokas,Stop! Wait a Minute,6508524011956210434,603900,1857,2696,13000000,75800,627900,14
6870223044820995330,1599598461,xehli,Stop! Wait a Minute,6508524011956210434,596800,824,6716,6200000,1400000,15400000,229
6818772656352005382,1587619232,quacollinss,Stop! Wait a Minute,6508524011956210434,594000,30000,5757,2500000,4669,598300,37
6809050723330821382,1585355664,lance210,Stop! Wait a Minute,6508524011956210434,592400,2121,1446,4800000,15000000,544100000,759
6866910671146175750,1598827241,clarasowell,Stop! Wait a Minute,6508524011956210434,589900,470,9683,3400000,43400,1000000,195
6812204796251098374,1586090030,staceysolomon,Stop! Wait a Minute,6508524011956210434,571800,1981,1205,13600000,1400000,4300000,14
6860768239585070341,1597397095,d4363,Stop! Wait a Minute,6508524011956210434,567800,6948,2268,3800000,569900,18200000,151
6819285452953062661,1587738622,edisonperets,Stop! Wait a Minute,6508524011956210434,551900,2078,9593,3300000,1000000,4900000,11
6821739458845576450,1588309992,vatajanta,Stop! Wait a Minute,6508524011956210434,551500,561,986,5500000,3500000,57400000,235
6867504939623648517,1598965610,tessacrawford7,Stop! Wait a Minute,6508524011956210434,545900,15500,2575,3600000,10100,549500,6
6820999713257508101,1588137760,spicymayonnaisebitvh,Stop! Wait a Minute,6508524011956210434,542300,15000,4553,6400000,2689,542800,8
6862405625549245701,1597778322,sylviamazurr,Stop! Wait a Minute,6508524011956210434,538600,6022,1828,3400000,10200,561600,89
6825695453644901637,1589231068,unpardeales,Stop! Wait a Minute,6508524011956210434,535900,5950,1964,18700000,235800,2500000,110
6852256296314473734,1595415248,radtastical24,Stop! Wait a Minute,6508524011956210434,530700,122900,7341,6300000,7039,544000,114
6795919516183448837,1582298317,sarati,Stop! Wait a Minute,6508524011956210434,525900,1056,584,7300000,9100000,260300000,1419
6824194107636862214,1588881507,ludmilla,Stop! Wait a Minute,6508524011956210434,525300,809,1127,7500000,4800000,16900000,73
6827519119651441925,1589655673,damnthatdarrin,Stop! Wait a Minute,6508524011956210434,521800,47500,5454,6800000,65200,953200,5
6833059933643148550,1590945749,gofetch,Stop! Wait a Minute,6508524011956210434,504700,9697,2401,3600000,5200000,110500000,855
6808691029168966918,1585271917,andreaespadatv,Stop! Wait a Minute,6508524011956210434,490300,728,872,5400000,5300000,94800000,221
6834139648948817157,1591197135,joealbanese,Stop! Wait a Minute,6508524011956210434,489000,497,1981,3300000,27100000,1100000000,1306
6868782975555849473,1599263169,lexaoficial,Stop! Wait a Minute,6508524011956210434,481000,1593,884,5800000,3200000,9300000,88
6765262389211401478,1575160400,emile.constantin,Stop! Wait a Minute,6508524011956210434,471800,3656,1417,5200000,6357,479300,3
6816732942719651077,1587144320,ilonaaln,Stop! Wait a Minute,6508524011956210434,463500,637,1560,2100000,2300000,113100000,1273
6819643943328681222,1587822090,azznsass,Stop! Wait a Minute,6508524011956210434,458300,23600,2943,16300000,27500,719900,35
6868339093168737542,1599159818,joealbanese,Stop! Wait a Minute,6508524011956210434,452400,693,2197,4300000,27100000,1100000000,1306
6887284829302312197,1603570999,jena,Stop! Wait a Minute,6508524011956210434,452000,227,3809,3200000,7300000,127000000,428
6860649592917150982,1597369469,elixriv,Stop! Wait a Minute,6508524011956210434,430200,12000,16700,1700000,15100,1000000,123
6861744214112275718,1597624329,marianakbermudes,Stop! Wait a Minute,6508524011956210434,429900,5882,3757,2600000,9497,431200,30
6823812887165947142,1588792749,jacobsartorius,Stop! Wait a Minute,6508524011956210434,425300,633,1935,2600000,23700000,1600000000,1757
