id,create_time,user_name,song,song_id,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6773385749971717382,1577051766,charlidamelio,Say So,6763054442704145158,8100000,370200,47300,94300000,99200000,7700000000,1653
6776016199227575558,1577664216,dave.xp,Say So,6763054442704145158,5900000,1500000,33500,79800000,4400000,64100000,66
6772712964689612034,1576895123,its_lauramoane,Say So,6763054442704145158,921000,18900,3391,27200000,1200000,18300000,378
6773885069535874306,1577168023,raishuu_,Say So,6763054442704145158,374900,4498,4114,15100000,1300000,71400000,796
6776727363624373505,1577829812,munggaran6,Say So,6763054442704145158,243500,3775,4264,10800000,374900,8000000,165
6772096998578326786,1576751705,putriayuzlvv,Say So,6763054442704145158,237500,3081,1584,8400000,752100,8300000,318
6774499187921784070,1577311009,charlidamelio,Say So,6763054442704145158,5400000,61300,31000,49000000,99200000,7700000000,1653
6779723029665647878,1578527283,sarah_crybaby,Say So,6763054442704145158,5200000,28100,44300,81800000,1100000,19700000,32
6801245317586078981,1583538333,selenagomez,Say So,6763054442704145158,5100000,22100,15300,35400000,25600000,67800000,24
6772861635133558021,1576929737,timtwinkle,Say So,6763054442704145158,4900000,70600,9272,41100000,942000,17800000,258
6772295427078327557,1576797907,charlidamelio,Say So,6763054442704145158,4900000,156200,31200,51300000,99200000,7700000000,1653
6772331374662798598,1576806277,treclements,Say So,6763054442704145158,4500000,336000,70900,33600000,3100000,97100000,572
6777271815539608838,1577956564,demiskinner,Say So,6763054442704145158,3300000,28900,31800,22100000,2300000,38500000,1142
6772684655499021573,1576888531,jamescharles,Say So,6763054442704145158,3200000,62600,30200,36100000,28800000,644200000,185
6785672035809905926,1579912390,abrameng,Say So,6763054442704145158,3200000,175000,17800,18500000,4800000,154800000,699
6772642458770672902,1576878705,jellopus,Say So,6763054442704145158,3000000,20400,43900,23800000,2700000,86700000,1294
6776866003650350342,1577862077,skaijackson,Say So,6763054442704145158,2900000,12200,20200,16900000,9400000,128200000,98
6771564222770892038,1576627660,charlidamelio,Say So,6763054442704145158,2800000,56500,16800,24900000,99200000,7700000000,1653
6788233297492266245,1580508730,stokestwins,Say So,6763054442704145158,2800000,18300,16000,15900000,28000000,716100000,465
6770784382253911301,1576446089,haleypham,Say So,6763054442704145158,2600000,227200,9648,30800000,1200000,39500000,403
6771902537722334470,1576706430,.guesswho,Say So,6763054442704145158,2500000,57600,37000,25500000,1500000,25000000,29
6811581419538615558,1585944887,mispastelitos_,Say So,6763054442704145158,2400000,17900,11700,19600000,4700000,40400000,107
6773381725478325510,1577050829,avani,Say So,6763054442704145158,2400000,29500,10800,12500000,28500000,2000000000,4947
6798256579692055814,1582842458,dojacat,Say So,6763054442704145158,2400000,15900,11500,15500000,5900000,49000000,47
6771207938490027270,1576544706,savariti,Say So,6763054442704145158,2300000,23400,20200,21800000,209000,4500000,52
6785260927043341573,1579816671,dixiedamelio,Say So,6763054442704145158,2300000,5767,7967,15100000,43800000,1400000000,430
6788206964829588742,1580502599,flighthouse,Say So,6763054442704145158,2200000,10600,1901,11600000,27500000,2300000000,4028
