id,create_time,user_name,song,song_id,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6862441166835600646,1597786599,charlidamelio,WAP（feat. Megan Thee Stallion）,6858456364713282309,10100000,270400,157600,86800000,97300000,7600000000,1641
6865548701666938117,1598510139,charlidamelio,WAP（feat. Megan Thee Stallion）,6858456364713282309,7900000,88600,97600,69100000,97300000,7600000000,1641
6861737179530480901,1597622691,charlidamelio,WAP（feat. Megan Thee Stallion）,6858456364713282309,6400000,107300,75600,51400000,97300000,7600000000,1641
6869080912882175237,1599332535,addisonre,WAP（feat. Megan Thee Stallion）,6858456364713282309,6100000,63800,53500,50200000,67900000,4200000000,1261
6871877393888333061,1599983691,lunaaticcc,WAP（feat. Megan Thee Stallion）,6858456364713282309,5500000,27600,25000,28800000,142900,5600000,12
6868755428004728069,1599256755,addisonre,WAP（feat. Megan Thee Stallion）,6858456364713282309,3900000,27300,26500,31200000,67900000,4200000000,1261
6870194810624429317,1599591885,jorobe,WAP（feat. Megan Thee Stallion）,6858456364713282309,3700000,60700,36,22800000,4700000,164300000,875
6866559424228609286,1598745460,officialau,WAP（feat. Megan Thee Stallion）,6858456364713282309,3500000,97200,88200,21600000,1300000,32400000,486
6867220725590215941,1598899472,noahbeck,WAP（feat. Megan Thee Stallion）,6858456364713282309,3100000,60500,68600,20500000,18600000,1100000000,1034
6867650700936006917,1598999544,justboggi,WAP（feat. Megan Thee Stallion）,6858456364713282309,2800000,93100,68300,13500000,5800000,257900000,706
6866177703213681925,1598656584,xoxomiaholl,WAP（feat. Megan Thee Stallion）,6858456364713282309,2600000,4113,64400,19300000,394700,20500000,2140
6887262233877941509,1603565745,tanakristine,WAP（feat. Megan Thee Stallion）,6858456364713282309,1900000,58700,30800,7900000,12600,2000000,13
6868270256511536389,1599143793,avenqerss,WAP（feat. Megan Thee Stallion）,6858456364713282309,1900000,60600,24000,9100000,60900,2600000,63
6869647479982312709,1599464472,sammywammylammy,WAP（feat. Megan Thee Stallion）,6858456364713282309,1900000,26100,23200,8700000,234900,8800000,534
6868344759526755589,1599161138,keliannestankus,WAP（feat. Megan Thee Stallion）,6858456364713282309,1800000,6046,13400,10600000,8400000,304700000,915
6860593509787880709,1597356409,kennilove03,WAP（feat. Megan Thee Stallion）,6858456364713282309,1700000,7602,4476,11100000,1200000,20700000,229
6873903881529609477,1600455477,qpark,WAP（feat. Megan Thee Stallion）,6858456364713282309,1700000,17100,8330,15300000,21300000,252100000,207
6863214791071223046,1597966724,nateehoney,WAP（feat. Megan Thee Stallion）,6858456364713282309,1600000,24200,24500,8400000,586500,22000000,1994
6864326005444611334,1598225450,newt,WAP（feat. Megan Thee Stallion）,6858456364713282309,1600000,56000,25600,9800000,6400000,145000000,207
6864712992676662534,1598315553,julianthejulian,WAP（feat. Megan Thee Stallion）,6858456364713282309,1500000,69200,125800,8400000,24700,3700000,819
6880713921745980677,1602041098,claudiamorales774,WAP（feat. Megan Thee Stallion）,6858456364713282309,1500000,117600,56900,8300000,169000,3800000,964
6866226857436515590,1598668029,real.ona,WAP（feat. Megan Thee Stallion）,6858456364713282309,1500000,2077,3012,9900000,9700000,381500000,912
6866158242112834822,1598652051,vhackerr,WAP（feat. Megan Thee Stallion）,6858456364713282309,1400000,76100,39000,7600000,4200000,177300000,1385
6876485435762232582,1601056582,princess.smyh,WAP（feat. Megan Thee Stallion）,6858456364713282309,1400000,1598,13500,6000000,12500,2400000,93
6871257455360331014,1599839316,prodkivy,WAP（feat. Megan Thee Stallion）,6858456364713282309,1300000,89300,27600,5800000,178800,7200000,85
6870015888137997574,1599550238,topperguild,WAP（feat. Megan Thee Stallion）,6858456364713282309,1300000,1601,1191,11400000,18900000,564100000,1030
6869204005113941249,1599361194,elrodcontreras,WAP（feat. Megan Thee Stallion）,6858456364713282309,1300000,3556,8066,9000000,21400000,1100000000,1422
6880171262732258561,1601914705,barbara_deregil212,WAP（feat. Megan Thee Stallion）,6858456364713282309,1200000,1517,4257,14100000,6500000,75800000,228
6873269640559201541,1600307804,zoelaverne,WAP（feat. Megan Thee Stallion）,6858456364713282309,1200000,12400,0,5100000,17600000,1700000000,6137
6864327331536735493,1598225758,siennamae,WAP（feat. Megan Thee Stallion）,6858456364713282309,1100000,1274,2165,6700000,8400000,279700000,208
6865720257462504709,1598550074,alaskaamandaa,WAP（feat. Megan Thee Stallion）,6858456364713282309,1100000,1571,6111,6800000,95700,4000000,136
6871756394832383234,1599955469,elrodcontreras,WAP（feat. Megan Thee Stallion）,6858456364713282309,1100000,1562,11200,6700000,21400000,1100000000,1422
6870321873259957510,1599621477,s.i.t.e44,WAP（feat. Megan Thee Stallion）,6858456364713282309,1000000,14900,12500,3600000,61700,2900000,219
6864290313612119302,1598217139,vhackerr,WAP（feat. Megan Thee Stallion）,6858456364713282309,1000000,40800,29200,7000000,4200000,177300000,1385
6863975952184118533,1598143948,k0uvr,WAP（feat. Megan Thee Stallion）,6858456364713282309,1000000,14100,13900,6000000,12300000,344400000,515
6868390962557734145,1599171897,montpantoja,WAP（feat. Megan Thee Stallion）,6858456364713282309,1000000,2089,5504,5100000,13500000,603800000,575
6861110532821372165,1597476793,k0uvr,WAP（feat. Megan Thee Stallion）,6858456364713282309,1000000,12700,14600,6800000,12300000,344400000,515
6866476368092237062,1598726119,willywonkatiktok,WAP（feat. Megan Thee Stallion）,6858456364713282309,965300,7911,16000,6900000,16300000,362400000,381
6876239723392765186,1600999325,andreachahin1,WAP（feat. Megan Thee Stallion）,6858456364713282309,963700,1095,2392,6000000,1300000,41400000,464
6863597826841021701,1598055907,imnotvinnie,WAP（feat. Megan Thee Stallion）,6858456364713282309,959800,33700,25000,6100000,1200000,35900000,219
6864643785549253894,1598299437,madi,WAP（feat. Megan Thee Stallion）,6858456364713282309,951900,7594,5595,4800000,12000000,503600000,974
6870225943084993797,1599599135,avani,WAP（feat. Megan Thee Stallion）,6858456364713282309,951800,9638,8196,3900000,28200000,2000000000,4928
6865321008954477829,1598457116,kiocyrrr,WAP（feat. Megan Thee Stallion）,6858456364713282309,946100,21500,16700,5000000,8400000,339900000,456
6878414518033190149,1601505714,bradypotter,WAP（feat. Megan Thee Stallion）,6858456364713282309,945600,12700,11000,4800000,1900000,28700000,44
6865380429059460357,1598470950,notacontenthouse,WAP（feat. Megan Thee Stallion）,6858456364713282309,939600,1149,1928,5000000,2200000,89300000,282
6874691226218614021,1600638814,benjixavier,WAP（feat. Megan Thee Stallion）,6858456364713282309,923000,49700,19200,4600000,80000,7400000,219
6861739870654614789,1597623318,lankylan,WAP（feat. Megan Thee Stallion）,6858456364713282309,918500,22700,12400,5700000,733500,16000000,185
6873501567392271621,1600361810,josettepimenta,WAP（feat. Megan Thee Stallion）,6858456364713282309,887100,681,1794,7200000,8000000,210800000,1839
6864961370027330821,1598373380,.kunno,WAP（feat. Megan Thee Stallion）,6858456364713282309,886100,1283,3803,6200000,15300000,1400000000,3430
6864270914381434118,1598212620,madi,WAP（feat. Megan Thee Stallion）,6858456364713282309,845700,8352,6808,5300000,12000000,503600000,974
6868397870677052678,1599173506,fatherfrogi,WAP（feat. Megan Thee Stallion）,6858456364713282309,843400,46000,17400,4300000,100300,2200000,62
6865058330608536837,1598395957,milktpapi,WAP（feat. Megan Thee Stallion）,6858456364713282309,842000,2212,5235,4200000,798300,14700000,96
6864683848966360325,1598308766,tayscheider,WAP（feat. Megan Thee Stallion）,6858456364713282309,808000,14900,11800,4100000,1300000,52100000,3060
6864314558161390853,1598222784,papijahnny,WAP（feat. Megan Thee Stallion）,6858456364713282309,798800,45300,64600,3800000,105000,2800000,19
6871404216326360326,1599873478,wojomoo,WAP（feat. Megan Thee Stallion）,6858456364713282309,797700,6564,7061,4800000,31800,807000,12
6865069451360914693,1598398546,olivia1010010,WAP（feat. Megan Thee Stallion）,6858456364713282309,790300,67300,63900,9200000,593900,19100000,539
6867161997037817094,1598885756,goodsharegpo,WAP（feat. Megan Thee Stallion）,6858456364713282309,776400,18200,28400,11100000,207500,1800000,200
6869437072277622017,1599415459,jashlem,WAP（feat. Megan Thee Stallion）,6858456364713282309,772700,4772,5071,3600000,20400000,862400000,1056
6867692166932598021,1599009201,officialau,WAP（feat. Megan Thee Stallion）,6858456364713282309,769200,16300,14700,4000000,1300000,32400000,486
6874650615092382982,1600629359,maddiwinter,WAP（feat. Megan Thee Stallion）,6858456364713282309,765600,3556,6559,3700000,3300000,69700000,243
6867227417971363077,1598900988,lorengray,WAP（feat. Megan Thee Stallion）,6858456364713282309,747800,8553,8120,4600000,49000000,2600000000,2670
6870950575937244418,1599767852,lamaricar,WAP（feat. Megan Thee Stallion）,6858456364713282309,741100,30900,33300,3900000,10200,742600,8
6862811058017406213,1597872721,.kunno,WAP（feat. Megan Thee Stallion）,6858456364713282309,723300,577,4700,5500000,15300000,1400000000,3430
6863858925280693509,1598116697,stonner0404,WAP（feat. Megan Thee Stallion）,6858456364713282309,722800,9149,5331,2900000,4801,740900,151
6871263992954883329,1599840824,sergioarbol,WAP（feat. Megan Thee Stallion）,6858456364713282309,696700,11600,19100,3800000,699400,41800000,1486
6871412490106899718,1599875404,tjblk,WAP（feat. Megan Thee Stallion）,6858456364713282309,678600,18800,8432,4000000,4900000,124600000,484
6866874723049999622,1598818869,zoelaverne,WAP（feat. Megan Thee Stallion）,6858456364713282309,646500,27200,0,3500000,17600000,1700000000,6137
6872532258599849222,1600136122,lilpapiclowngirl,WAP（feat. Megan Thee Stallion）,6858456364713282309,641300,1627,2306,2000000,3800000,117400000,423
6865725483108027654,1598551290,keliannestankus,WAP（feat. Megan Thee Stallion）,6858456364713282309,639100,3070,2698,3900000,8400000,304700000,915
6865397172607896837,1598474849,lex_0724,WAP（feat. Megan Thee Stallion）,6858456364713282309,631600,6059,13900,6500000,3600000,112300000,2050
