id,create_time,user_name,song,song_id,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6870854022073502981,1599745393,foodies,original sound,6870853788496972549,407400,46500,6010,2700000,12200000,480400000,688
6871039996388805890,1599788674,markchrispy,original sound,6870853788496972549,1930,5,26,10400,148200,7500000,953
6870871655074286853,1599749487,mauricio.noobief4f,original sound,6870853788496972549,473,2,6,4634,6446,62500,286
6888906350428982530,1603948503,nutripaw,original sound,6870853788496972549,442,5,12,3240,11100,343500,980
6886364819914591489,1603356756,katana_19,original sound,6870853788496972549,409,0,9,4610,70500,562700,840
6882493713998744837,1602455475,orangegirl190,original sound,6870853788496972549,409,38,14,2120,13100,163600,80
6888514267532791046,1603857262,emirsensini,original sound,6870853788496972549,362,3,18,3789,5364,44300,67
6870945115897154817,1599766580,dobramaniuraeg,original sound,6870853788496972549,314,3,5,2766,12800,150500,778
6871365926613159173,1599864562,michael05701,original sound,6870853788496972549,266,17,22,2425,1612,34500,284
6874561965688245505,1600608689,floraiser,original sound,6870853788496972549,182,3,5,1423,5078,23800,180
6870932470682979586,1599763635,joshiecotton,original sound,6870853788496972549,180,20,4,4856,5458,41300,385
6876188450068925697,1600987390,an0n.helo0,original sound,6870853788496972549,159,15,24,1647,243,2362,81
6883504030962732294,1602690736,toxickaran,original sound,6870853788496972549,154,5,3,1136,272,2003,32
6871057418642590981,1599792738,margiecooper6,original sound,6870853788496972549,140,1,1,2085,1863,7975,283
6878835163971833090,1601603622,_.following.people.back,original sound,6870853788496972549,137,3,3,1186,1350,2105,35
6874396081401236738,1600570069,mumma.react,original sound,6870853788496972549,134,5,0,1554,238,1144,20
6870872154423020801,1599749591,officialsoji,original sound,6870853788496972549,130,3,2,1627,9415,377600,1860
6871676057678826758,1599936772,inmyhead16,original sound,6870853788496972549,124,0,1,960,2326,82200,927
6886196255731485958,1603317545,lillywarfel444,original sound,6870853788496972549,112,16,2,1858,47,320,57
6886281778730962181,1603337476,aria123weeb,original sound,6870853788496972549,104,1,3,311,3506,58400,78
6877569407590223106,1601308914,tiktok_and_roblox2.0,original sound,6870853788496972549,103,11,7,1291,79,1141,43
6878654775756377346,1601561620,i.follow.everone0,original sound,6870853788496972549,101,2,1,1342,42,140,2
6881712415403281669,1602273570,trainergirl242,original sound,6870853788496972549,100,2,0,2390,1069,382,22
6877928041624915202,1601392414,summer72418,original sound,6870853788496972549,99,1,2,851,64,535,188
6871045388791565573,1599789933,leahloolabelle,original sound,6870853788496972549,95,10,1,1729,2409,14400,309
6870868955909590273,1599748845,magicspongebob,original sound,6870853788496972549,92,2,3,1275,2660,123800,2786
6875455490655145222,1600816757,lauryns_mom1283,original sound,6870853788496972549,84,0,0,673,25,252,9
6870988111619378437,1599776596,margiecooper6,original sound,6870853788496972549,84,1,0,1742,1863,7975,283
6871644504537959682,1599929416,sacha111004,original sound,6870853788496972549,82,8,0,998,1554,6338,325
6881061577420754181,1602122030,stevenmejia070,original sound,6870853788496972549,78,1,0,1288,56,264,8
6876180579914763521,1600985557,slayer_cm,original sound,6870853788496972549,78,2,5,285,1913,13400,795
6874856620657069314,1600677298,patlidzan1,original sound,6870853788496972549,78,2,3,385,104,1669,23
6872918652321107205,1600226086,imranandfarah,original sound,6870853788496972549,77,7,2,1698,42300,1100000,446
6871048097821101318,1599790565,1lordon_,original sound,6870853788496972549,77,0,2,2420,520,1903,23
6881768287080926469,1602286575,the_fun_henny,original sound,6870853788496972549,74,0,3,445,20100,346500,844
6885018763972857089,1603043352,alyn_chucky,original sound,6870853788496972549,70,3,0,1830,311,3012,75
6870989498679889157,1599776919,margiecooper6,original sound,6870853788496972549,69,0,1,883,1863,7975,283
6870893992003849478,1599754683,bookworm_mer,original sound,6870853788496972549,65,1,1,1026,69,735,16
6885983048182009093,1603268162,mackenzie2.0_960,original sound,6870853788496972549,64,21,8,3002,42,224,9
6884374505138015494,1602893384,_amanda0211,original sound,6870853788496972549,64,7,3,2149,47,437,31
6884047135600315653,1602817169,trentyreacts,original sound,6870853788496972549,63,1,5,503,78,666,11
6876683522132790530,1601102653,leahkennett,original sound,6870853788496972549,58,3,2,827,14,61,2
6884689037219597573,1602966618,ro_smallwood75,original sound,6870853788496972549,53,1,1,332,1217,3324,112
6887766896196865285,1603683246,the_gacha_weasel,original sound,6870853788496972549,50,0,0,488,123,668,16
6881011364983360770,1602110308,thatvvegantacher,original sound,6870853788496972549,48,0,1,676,23,276,9
6880998054464441601,1602107209,skeleton070,original sound,6870853788496972549,48,0,1,614,62,233,9
6873662858496838913,1600399356,hannahftmj,original sound,6870853788496972549,48,2,1,1122,500,2040,45
6870867806049668354,1599748578,_.dari._8,original sound,6870853788496972549,47,0,0,960,267,1936,60
6870860703394319617,1599746925,giahao226,original sound,6870853788496972549,47,0,0,1700,10600,58500,722
6871011488979504389,1599782038,ms_neenee,original sound,6870853788496972549,40,0,1,372,9972,25700,482
6886909172194036998,1603483543,dogemaster123899,original sound,6870853788496972549,36,0,1,555,97,545,23
6872649592912071937,1600163435,kasmirgaming,original sound,6870853788496972549,35,0,0,382,7655,40300,252
6887394220169022725,1603596465,jadesbackipaccount,original sound,6870853788496972549,33,1,1,602,39,147,15
6884075464026082566,1602823794,big_peter_dragon,original sound,6870853788496972549,33,0,0,777,18,147,8
6890967751087754498,1604428459,barbiedeseato,original sound,6870853788496972549,32,6,0,916,8629,124500,1167
6873945650099195137,1600465194,that_trini_guy_roshan,original sound,6870853788496972549,32,1,0,245,5188,36900,713
6871252063360191745,1599838045,lovelykasiru,original sound,6870853788496972549,32,1,0,1289,41700,740700,4319
6884696875727981829,1602968440,anyrandomdud,original sound,6870853788496972549,31,0,1,456,46,156,5
6870926262324448513,1599762189,itz_chloeee_1x,original sound,6870853788496972549,31,0,3,310,349,9116,583
6870942219650567429,1599765915,abbebringle,original sound,6870853788496972549,30,0,1,321,1753,11900,475
6883961476021898501,1602797221,disgusted.jami,original sound,6870853788496972549,28,0,1,563,4,31,2
6871852638657318150,1599977900,shadow_wolf137,original sound,6870853788496972549,28,0,3,193,464,12600,483
6878944341570686209,1601629041,theneondragon123,original sound,6870853788496972549,26,7,1,1157,396,2713,57
6883298199155641605,1602642793,avacodoface1,original sound,6870853788496972549,25,0,0,133,588,3513,111
6874454181466426629,1600583623,idorandom_things3,original sound,6870853788496972549,25,0,4,780,33,99,29
6870987319156002053,1599776412,futuremilfff,original sound,6870853788496972549,25,1,0,1403,189,8571,155
6889987598794673409,1604200250,giomarfranco,original sound,6870853788496972549,24,3,2,1090,229,1903,208
6871024209833823494,1599785000,elijahjtrey,original sound,6870853788496972549,24,0,0,200,3775,8281,1221
6870854914394967302,1599745594,alexwolf413,original sound,6870853788496972549,24,0,0,544,58,388,62
6874050553177984258,1600489619,charlidamelion41,original sound,6870853788496972549,23,0,0,114,1640,15100,952
6871497915911769345,1599895286,melvinaturelover7,original sound,6870853788496972549,22,0,0,509,82900,244800,5835
6870884294525504770,1599752417,vonjano0701,original sound,6870853788496972549,23,0,1,1109,674,24400,1063
6890314704992996613,1604276441,xx_gachabeauty_xx,original sound,6870853788496972549,21,0,3,438,16,73,6
6871313306561400065,1599852303,gordonas25,original sound,6870853788496972549,21,1,0,521,439,7872,517
6871012405875461381,1599782253,smd..brooklyn2020,original sound,6870853788496972549,18,0,0,142,12300,270800,17200
6872583460767141121,1600148036,.st3fany,original sound,6870853788496972549,18,0,0,494,5368,7081,361
6871846268553923842,1599976394,alexandraconstant384,original sound,6870853788496972549,17,0,0,554,12100,38000,596
