id,create_time,user_name,hashtags,song,video_length,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6892428462015958273,1604768557,john.cena10,"['johncena', 'love', 'tiktok', 'fyp', 'foryoupage', 'vibes']",الصوت الأصلي,8,1984,3,18,12800,1000000,4700000,211
6891790235336822018,1604619960,john.cena10,"['johncena', 'love', 'tiktok', 'halloween', 'queen', 'roblox', 'bts', 'comedy']",الصوت الأصلي,6,7372,9,51,52800,1000000,4700000,211
6891264678832475393,1604497592,john.cena10,"['johncena', 'love', 'fyp', 'foryoupage']",The Time Is Now (John Cena),5,4623,11,27,37700,1000000,4700000,211
6891050048403049730,1604447622,john.cena10,"['johncena', 'fyp', 'foryoupage', 'viral', 'comedy', 'charlidamelio', 'i']",الصوت الأصلي,6,7931,6,24,51200,1000000,4700000,211
6890886086613126402,1604409445,john.cena10,"['johncena', 'foryoupage', 'fyp', 'viral']",الصوت الأصلي,15,3229,9,14,24700,1000000,4700000,211
6890500322096123137,1604319627,john.cena10,"['johncena', 'foryoupage', 'fyp', 'viral', 'comedy', 'vibes']",الصوت الأصلي,23,8021,24,54,49600,1000000,4700000,211
6890125844249955586,1604232437,john.cena10,"['johncena', 'foryoupage', 'fyp', 'viral', 'comedy']",الصوت الأصلي,15,2303,4,19,18900,1000000,4700000,211
6889360947706645761,1604054346,john.cena10,"['foryoupage', 'fyp', 'johncena', 'viral']",الصوت الأصلي,33,39900,395,325,255800,1000000,4700000,211
6889023239843024129,1603975717,john.cena10,"['foryoupage', 'fyp', 'wwe', 'johncena', 'viral', '🖐🏻']",оригинальный звук,25,6789,40,95,58500,1000000,4700000,211
6888996992249335041,1603969606,john.cena10,"['foryoupage', 'fyp', 'johncena']",Satisfya,16,4596,42,33,35800,1000000,4700000,211
6888981279170120961,1603965947,john.cena10,"['foryoupage', 'fyp', '🖐🏻']",original sound,16,3666,12,27,33200,1000000,4700000,211
6888590122749545729,1603874874,john.cena10,"['johncena', 'foryoupage', 'fyp', 'viral']",الصوت الأصلي,10,9406,20,50,64200,1000000,4700000,211
6888250161005481218,1603795721,john.cena10,"['johncena', 'fyp', 'foryoupage', 'wwe']",оригинальный звук,24,6419,34,128,53700,1000000,4700000,211
6888232349104966913,1603791574,john.cena10,"['😂😂😂', 'xbox', 'johncena', 'fyp', 'viral', 'foryoupage', 'wwe']",الصوت الأصلي,11,8416,53,65,71400,1000000,4700000,211
6887916512913509634,1603718037,john.cena10,"['johncena', 'fyp', 'foryoupage', 'viral', 'wwe']",Satisfya,19,8559,15,48,53600,1000000,4700000,211
6887511753413004546,1603623797,john.cena10,['johncena'],Satisfya,7,9646,15,41,108300,1000000,4700000,211
6886743242625305857,1603444865,john.cena10,"['johncena', 'fyp', 'foryoupage', 'viral']",الصوت الأصلي,5,9107,29,44,83300,1000000,4700000,211
6886742589534375170,1603444712,john.cena10,"['johncena', 'fyp', 'foryoupage', 'wwe', 'comedy', 'john_cena', 'viral']",original sound,52,7057,84,114,56600,1000000,4700000,211
6886387866432228609,1603362122,john.cena10,"['johncena', 'fyp', 'foryoupage', 'wwe', 'comedy', 'tiktok', 'viral']",оригинальный звук,18,3770,15,32,38200,1000000,4700000,211
6886363091727027458,1603356354,john.cena10,"['johncena', 'fyp', 'foryoupage', 'wwe', 'comedy', 'comedy', 'john_cena', 'tiktok', 'surrender', 'players']",الصوت الأصلي,15,12700,79,337,111000,1000000,4700000,211
6886036887388179713,1603280403,john.cena10,"['johncena', 'fyp', 'foryoupage', 'wwe', 'viral', 'comedy', 'john_cena', 'tiktok', 'viral_video', 'pubg', 'jungkook', '1m', 'therock']",الصوت الأصلي,24,3422,9,27,33500,1000000,4700000,211
6885995517218655490,1603270771,john.cena10,"['johncena', 'fyp', 'foryoupage', 'viral', 'comedy', 'wwe', 'john_cena', 'tiktok', 'viral_video', 'pubg', 'jungkook']",оригинальный звук,35,3316,20,22,33000,1000000,4700000,211
6885711500883873025,1603204643,john.cena10,"['johncena', 'fyp', 'foryoupage', 'viral', 'comedy']",الصوت الأصلي,12,11600,29,118,87800,1000000,4700000,211
6885668326308171010,1603194591,john.cena10,"['Players', 'surrender', 'johncena', 'fyp', 'viral_video', 'wwe', 'foryoupage']",оригинальный звук,23,8543,30,38,74800,1000000,4700000,211
6885291574440348929,1603106872,john.cena10,"['johncena', 'fyp', 'viral_video', 'tiktok', 'viral', 'wwe']",оригинальный звук,60,23000,121,190,156300,1000000,4700000,211
6892519502127320322,1604789755,robertdowneyjnrofficial,"['summer', 'avengers', 'ohnanana', 'robertdowneyjnr', 'rdj', 'foryou', 'viral', 'foru', 'water', 'stark']",Capone - Oh No,9,2698,4,230,17300,651100,144000,3
6891694013762505986,1604597558,robertdowneyjnrofficial,"['robertdowneyjr', 'hurtmechallenge', 'avengers', 'rdj', 'ironman', 'spiderman', 'stark', 'misterstark', 'foryou', 'viral']",Bulletproof,9,42800,189,1053,463900,651100,144000,3
6889484661748157698,1604083150,robertdowneyjnrofficial,"['fyp', 'foryou', 'viral']",What You Know Bout Love,17,49800,372,2843,326800,651100,144000,3
6884636885461814533,1602954484,shaq,['FORTOpartner'],original sound,24,25300,39,488,139500,2500000,4800000,62
6869383845897161989,1599403078,shaq,['tiptoechallenge'],Tip Toe,15,229800,2657,2401,1100000,2500000,4800000,62
6853058054976507142,1595601921,shaq,"['HandShaq', 'GoldBond', 'ad']",original sound,15,415000,1542,2162,2900000,2500000,4800000,62
6842726634433432838,1593196449,shaq,['TeamSHAQ'],original sound,59,35000,180,382,365600,2500000,4800000,62
6796037535182179589,1582325795,shaq,"['GoFORTO', 'ad']",original sound,29,51200,336,346,875400,2500000,4800000,62
6793157336836951302,1581655199,shaq,"['fyp', 'foryoupage', 'xycba']",Lottery,15,63600,227,180,1100000,2500000,4800000,62
6790429245559622918,1581020013,shaq,[],original sound,9,275600,2789,1129,3200000,2500000,4800000,62
6790428877572427014,1581019928,shaq,[],original sound,8,614400,12500,1913,7800000,2500000,4800000,62
6752717147669056774,1572239497,shaq,"['fyp', 'foryoupage']",HBS,15,64400,290,243,1100000,2500000,4800000,62
6742132888826924294,1569775143,shaq,[],original sound,13,34900,267,120,733000,2500000,4800000,62
6741595361774816517,1569649995,shaq,[],original sound,15,54300,675,255,781800,2500000,4800000,62
6738622584008543493,1568957842,shaq,['delayed'],original sound,7,19900,26,48,535400,2500000,4800000,62
6731461228583013638,1567290455,shaq,[],original sound,14,19700,268,83,456600,2500000,4800000,62
6729138777652071685,1566749716,shaq,[],original sound,7,26600,585,199,463400,2500000,4800000,62
6729136616767589638,1566749213,shaq,[],original sound,8,28100,284,128,398500,2500000,4800000,62
6721150782382673157,1564889869,shaq,[],original sound,19,15500,138,40,345000,2500000,4800000,62
6721041327208926469,1564864382,shaq,[],original sound,15,13300,119,74,312500,2500000,4800000,62
6717755524521168133,1564099350,shaq,[],original sound,48,19900,398,93,313200,2500000,4800000,62
6698958213536025862,1559722753,shaq,['ChasingHappiness'],original sound,30,11100,89,53,287000,2500000,4800000,62
6698904707152219398,1559710295,shaq,[],REDLIGHT,59,11900,169,54,265700,2500000,4800000,62
6698900930143718662,1559709415,shaq,[],original sound,30,10000,139,48,232700,2500000,4800000,62
6698892384970738950,1559707426,shaq,[],original sound,14,15000,320,138,227500,2500000,4800000,62
