id,create_time,user_name,hashtags,song,video_length,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6892505037482822918,1604786417,charlidamelio,[],Adderall (Corvette Corvette),15,480800,9256,51300,1900000,97400000,7600000000,1642
6892162409755086086,1604706644,charlidamelio,[],original sound,9,3100000,17200,105700,13300000,97400000,7600000000,1642
6892157423637892358,1604705486,charlidamelio,[],original sound,4,2400000,17800,69200,10100000,97400000,7600000000,1642
6891687575350709510,1604596107,charlidamelio,[],original sound,15,3200000,12700,64100,14600000,97400000,7600000000,1642
6891015696998731014,1604439653,charlidamelio,[],original sound,13,7500000,31100,290300,34700000,97400000,7600000000,1642
6890973027626913029,1604429723,charlidamelio,[],Lemonade Internet Money,7,7100000,43000,82000,33300000,97400000,7600000000,1642
6890944478589340934,1604423084,charlidamelio,[],original sound,13,3200000,8610,43600,17800000,97400000,7600000000,1642
6890783107214019845,1604385576,charlidamelio,[],All I Want,38,4100000,25000,55500,19400000,97400000,7600000000,1642
6890715534430637318,1604369764,charlidamelio,[],original sound,13,4000000,39100,63100,20100000,97400000,7600000000,1642
6890712367240350982,1604369025,charlidamelio,[],hammer time,7,5800000,26800,61400,26600000,97400000,7600000000,1642
6890056616918535429,1604216444,charlidamelio,[],original sound,12,5200000,71400,115700,30600000,97400000,7600000000,1642
6889932323962342661,1604187491,charlidamelio,[],original sound,9,7200000,216200,105200,46800000,97400000,7600000000,1642
6889869258214460677,1604172730,charlidamelio,[],FOLLOW ME sarahk1m,6,9500000,71600,126500,49000000,97400000,7600000000,1642
6889490813710044421,1604084624,charlidamelio,[],STAN LIZ SANCHEZ 4 CLEAR SKIN RNNNNN,14,7500000,55100,127900,40400000,97400000,7600000000,1642
6889464783683341574,1604078570,charlidamelio,['hcopartner'],Do You Feel That?,11,4400000,32100,69500,27300000,97400000,7600000000,1642
6889205780302531845,1604018247,charlidamelio,[],pls follow pubby666,7,8300000,78500,143900,41700000,97400000,7600000000,1642
6889074412360977670,1603987688,charlidamelio,[],original sound,15,3900000,11500,57400,24700000,97400000,7600000000,1642
6888853547396402438,1603936241,charlidamelio,[],"Rubi Rose ""Big Mouth""",7,5800000,72000,87800,30400000,97400000,7600000000,1642
6888782649771445509,1603919719,charlidamelio,[],HOOPLA,15,7100000,169200,137200,42600000,97400000,7600000000,1642
6888390949832019205,1603828537,charlidamelio,[],original sound,9,7700000,105700,157400,41400000,97400000,7600000000,1642
6888361611350920453,1603821717,charlidamelio,[],original sound,9,5100000,139500,133000,37100000,97400000,7600000000,1642
6888360152932584710,1603821373,charlidamelio,"['morphe2', 'morphe2xcharlidixie']",original sound,11,3000000,10200,38500,23400000,97400000,7600000000,1642
6888358193139846405,1603820922,charlidamelio,[],original sound,15,4100000,44100,89100,23800000,97400000,7600000000,1642
6888120329646902534,1603765524,charlidamelio,[],Maejor - Lights Down Low,8,9500000,226400,329200,46300000,97400000,7600000000,1642
6887767733786692870,1603683441,charlidamelio,[],original sound,15,5300000,50900,121800,30000000,97400000,7600000000,1642
6887599575587212550,1603644281,charlidamelio,[],original sound,15,7100000,50700,117700,35600000,97400000,7600000000,1642
6887073700747791622,1603521920,charlidamelio,[],What We Doin',9,5400000,50000,96000,30900000,97400000,7600000000,1642
6887063724071374086,1603519564,charlidamelio,[],JOEMAMA,5,7400000,46200,89600,36900000,97400000,7600000000,1642
6886940164170517766,1603490753,charlidamelio,[],doja x calabria,15,8000000,210900,97000,51600000,97400000,7600000000,1642
6886848840532544774,1603469510,charlidamelio,[],original sound,15,5400000,14800,52300,32700000,97400000,7600000000,1642
6886558212737322245,1603401823,charlidamelio,[],original sound,15,4000000,57800,71600,23900000,97400000,7600000000,1642
6886526564587097350,1603394464,charlidamelio,[],original sound,15,4900000,56800,59300,29000000,97400000,7600000000,1642
6886475118076267781,1603382501,charlidamelio,[],original sound,14,5400000,14200,48200,31100000,97400000,7600000000,1642
6886180966105206022,1603313988,charlidamelio,['franchisechallenge'],FRANCHISE,11,4500000,41500,72700,26700000,97400000,7600000000,1642
6886134164249251078,1603303105,charlidamelio,[],lights down low by nxl.ae on soundcloud,10,5000000,49400,93000,27800000,97400000,7600000000,1642
6885950395957431558,1603260392,charlidamelio,[],original sound,23,5100000,53200,84500,28200000,97400000,7600000000,1642
6885878980436692230,1603243669,charlidamelio,[],its quite aint no back talk,7,7800000,26800,57900,41600000,97400000,7600000000,1642
6885878112400313606,1603243457,charlidamelio,[],original sound,15,12700000,59200,167800,60300000,97400000,7600000000,1642
6885804350921280773,1603226284,charlidamelio,[],original sound,15,9100000,88400,153500,44500000,97400000,7600000000,1642
6885801328245820678,1603225583,charlidamelio,[],Space Cadet - Metro Boomin,10,6700000,65400,84900,36600000,97400000,7600000000,1642
6885800882202610950,1603225478,charlidamelio,[],Perfect (Remix),6,5600000,37100,61400,29700000,97400000,7600000000,1642
6885446078540336389,1603142878,charlidamelio,"['quiktok', 'franchisechallenge']",FRANCHISE,15,4800000,24900,91800,28500000,97400000,7600000000,1642
6885419214623100165,1603136638,charlidamelio,[],Nelly Furtado - Promiscuous,7,6900000,100000,102200,38500000,97400000,7600000000,1642
6885418734731693318,1603136515,charlidamelio,[],pls follow pubby666,9,5500000,26300,76000,32700000,97400000,7600000000,1642
6885087969259080965,1603059498,charlidamelio,[],GIRLS IN THE HOOD,11,5000000,102600,166700,33500000,97400000,7600000000,1642
6884749585839901958,1602980719,charlidamelio,[],original sound,10,6600000,34400,123900,37700000,97400000,7600000000,1642
6884654707034344710,1602958633,charlidamelio,[],original sound,9,13300000,126400,206300,76900000,97400000,7600000000,1642
6884363972389260550,1602890935,charlidamelio,[],original sound,18,6000000,183900,95500,46100000,97400000,7600000000,1642
6884291516668464390,1602874073,charlidamelio,['duet'],WAP vs Anaconda by adamusic_,20,11200000,254500,142800,91700000,97400000,7600000000,1642
6884290506986228997,1602873836,charlidamelio,[],WAP（feat. Megan Thee Stallion）,5,5000000,19100,50900,40400000,97400000,7600000000,1642
6892134385387048198,1604700121,addisonre,[],original sound,8,1800000,17500,48700,8600000,67900000,4200000000,1261
6891676202759720198,1604593474,addisonre,"['AEPartner', 'AEJeans']",If AE Jeans Could Talk,14,1600000,11700,39600,9000000,67900000,4200000000,1261
6891423069357837574,1604534502,addisonre,['greenscreen'],90s Aesthetic,9,4400000,12400,58200,20000000,67900000,4200000000,1261
6891388480358747398,1604526452,addisonre,[],why have so many people used this,9,3600000,27800,35300,20600000,67900000,4200000000,1261
6890637564735196421,1604351616,addisonre,[],No Idea,12,9800000,99700,278300,57600000,67900000,4200000000,1261
6890576311358688517,1604337367,addisonre,[],Lilcobaine Let it Play,8,2700000,6717,29000,20200000,67900000,4200000000,1261
6890559532381064453,1604333468,addisonre,[],original sound,15,4200000,6806,30200,24800000,67900000,4200000000,1261
6889962539422174470,1604194445,addisonre,[],original sound,13,12900000,170500,316500,83400000,67900000,4200000000,1261
6889089717367786757,1603991247,addisonre,"['boorito', 'contest', 'ad']",Monster Mash (Ethan Fields Remix),9,4900000,8899,40400,34200000,67900000,4200000000,1261
6888794852927048966,1603922565,addisonre,[],original sound,5,4200000,50100,60500,30500000,67900000,4200000000,1261
6888792718542228741,1603922067,addisonre,[],Lonely,15,7600000,28600,144200,52300000,67900000,4200000000,1261
6888171695702543622,1603777554,addisonre,['foryoupage'],Promiscuous,15,9800000,193000,384100,59100000,67900000,4200000000,1261
6888085541628300550,1603757422,addisonre,[],Nicki Minaj “Pound The Alarm”,8,6100000,30200,142000,38600000,67900000,4200000000,1261
6888052878213172485,1603749818,addisonre,[],space cadet slowed,6,3900000,39400,54600,24800000,67900000,4200000000,1261
6888052144298118405,1603749648,addisonre,[],why have so many people used this,9,4000000,49200,40400,28900000,67900000,4200000000,1261
6887297929476902150,1603574051,addisonre,['duet'],WAP vs Anaconda by adamusic_,20,9200000,80100,100800,63400000,67900000,4200000000,1261
6887289633277775110,1603572120,addisonre,[],why have so many people used this,9,4200000,57700,51900,34400000,67900000,4200000000,1261
6887269230023118085,1603567369,addisonre,[],original sound,11,4000000,63700,67100,32900000,67900000,4200000000,1261
6887262345031159045,1603565770,addisonre,[],My Love,11,3700000,21000,46300,22900000,67900000,4200000000,1261
6886891487812963589,1603479425,addisonre,[],ultimate vibes,15,3600000,8109,46600,22100000,67900000,4200000000,1261
6886890490067832069,1603479197,addisonre,[],Yadiggg,10,3500000,16200,48800,23400000,67900000,4200000000,1261
6885817984263245061,1603229457,addisonre,['duet'],original sound,15,4100000,30500,85100,29500000,67900000,4200000000,1261
6885524775595298053,1603161213,addisonre,[],New Thang,7,6000000,84800,44800,46100000,67900000,4200000000,1261
6884738601008090374,1602978163,addisonre,['ColorCustomizer'],Goodba trend,7,5800000,46000,96000,39300000,67900000,4200000000,1261
6884734661923245317,1602977239,addisonre,['TimeWarpScan'],original sound,11,9000000,24200,102500,61000000,67900000,4200000000,1261
6884675909777902854,1602963567,addisonre,"['AEJeans', 'AEPartner']",I Wanna Know You,22,3200000,7261,33500,24400000,67900000,4200000000,1261
6883713445808606470,1602739545,addisonre,['아웃웨스트챌린지'],OUT WEST,9,4900000,62000,91100,34600000,67900000,4200000000,1261
6883685086697442565,1602732885,addisonre,[],original sound,18,6600000,92700,93700,44100000,67900000,4200000000,1261
6883597972379159813,1602712588,addisonre,[],original sound,18,4700000,41800,39600,34400000,67900000,4200000000,1261
6883203985205988613,1602620854,addisonre,[],original sound,11,3000000,23700,54300,23100000,67900000,4200000000,1261
6882416889264344325,1602437600,addisonre,[],smack my blank like a drum,8,5700000,21100,60000,40900000,67900000,4200000000,1261
