username,id
john.cena10,6854235943953449989
robertdowneyjnrofficial,6885987756834178050
shaq,14388294
lazarbeam,6631468310313943045
mrbeast,6614519312189947909
legend_sylvesterstallone,6810463035695956998
kyliejenner,6654362767867265030
wildnout,6660131576234524678
netflix,153261143199891456
kevinjamesofficial,6779374521625199622
guavajuice,6668457160542257157
ridiculousness,236646000667353088
jackblack,6781939622308037638
chandlerhallow,6558475384039342086
markvindieselx2,6671919881561440262
dudeperfect,6716495811822224389
bluefacebleedem,6725461905366369286
vindieselbrasileiro,6808277971889243141
idriselba,6789397472962003974
wwe,24335671
jimmyfallon,6600793442431123462
ellendegeneres,6547789505271698447
6ix9ine,6521775276454581263
dwayne_johnson_fan_2020,6866744128114738181
danbilzerian,6820480098354365445
zhcyt,6614659970674130949
loganpaul,8242795
lizzza,936655
zachking,68616495085350913
iamcardib,313520613518753792
rihanna,6621955904844021765
dojacat,6656913964248088581
juicewrld999,6752973891285877766
theestallion,6748929703376536581
selenagomez,97614653324771328
britneyspears,120706839175909376
dovecameron,6693111971427156998
brunomars,159398380291555328
madisonbeer,20921174
marshmellomusic,142565009246584832
katyperry,131256363632148480
billnye,6801582887495599110
snoopdogg,6644633379692199942
iambeckyg,139911303976050688
eminemtoktik,6811587570910020614
camilacabello,153416220371775488
lizzo,84635664075374592
steveharvey,6653097460997521414
jasonderulo,21609287
dameliofamilyefan,6871307735531668482
charli.xqueenx.hi,6811504828603925509
boonanaxdddd,6804168827913470981
elliezeiler,6660600058511802374
sommerray,6686616047858844678
dixiedamelio1356,6868534979464381441
nessaabarrett,14313267
addi_and_charli_offical,6702064709178360838
charlyjordan,4140637
chars...alien,6817513557849555974
nikitadragun,118910952565104640
hispanic...sunkins,6783837797814289413
tessabrooks,29267319
abbyspamstuff,6767087578774176773
imgriffinjohnson,6634288900787781638
alexwarrenclips,6821374233723552774
charscutepie,6809276621242106886
dudewhoscynthiaparker,6674324312101864454
montyjlopez,6713720820524516358
chantellepaige,20251830
siennamaegomezz,6621243876975280133
thelopezboys,6802272861022553093
sofiedossi,191013848190197760
emmachamberlain,6529727821143610383
addison_re_3,6816767493627118598
sexyygammer,6704788161032520709
zootedjosh,6638297187447324677
miahayward,6636850557980852230
rileyhubatka,1105319
itsblakexgray,3301075
theswayla,6778633468920693765
jordynjones,3775040
malutrevejo,7239462
emmanortss,6753398144526173189
harryjowsey,6617414304110018565
kristenhancher,6126024
spencerx,6524904798586672143
justmaiko,3777553
preston,6698503821624640518
