Rank,Name,Followers,Videos,Views,Engagement
1,Charli D'Amelio,94500000,310,677.910M,15.57%
2,addison easterling,65900000,76,102.007M,12.29%
3,Zach King,51400000,138,2.723B,6.70%
4,Loren Gray,48300000,2030,5.470B,32.29%
5,TikTok,48200000,95,291.836M,9.92%
6,Spencer X,46800000,529,1.065B,12.95%
7,Riyaz ,43500000,844,7.944B,9.56%
8,dxdml,41400000,6,9.147M,7.30%
9,Michael Le,41100000,421,116.337M,18.59%
10,Will Smith,39600000,33,844.119M,13.20%
11,Jason Derulo,38200000,122,116.132M,33.68%
12,BabyAriel,34700000,1850,3.084B,43.15%
13,Brent Rivera,34500000,551,1.483B,18.35%
14,mr_faisu_07,32100000,1950,12.122B,10.53%
15,JoJo Siwa,29600000,945,1.210B,46.13%
16,Arishfa Khan,28500000,1113,4.705B,10.09%
17,jannat_zubair29,28100000,694,5.386B,7.98%
18,Nisha Guragain,28000000,1182,4.204B,8.17%
19,avani,27500000,2279,1.394B,19.18%
20,flighthouse,27400000,406,818.864M,13.76%
21,Stokes Twins,27200000,222,1.998B,11.78%
22,James Charles,27000000,53,630.950M,17.04%
23,Joe,26800000,581,1.237B,15.58%
24,Lucas and Marcus,26200000,1018,1.724B,24.36%
25,Awez Darbar,25900000,1929,6.116B,9.21%
26,Chase Hudson,25800000,2187,1.208B,17.16%
27,Selena Gomez,25200000,1,91.590M,15.97%
28,Kristen Hancher,24600000,1707,2.858B,37.86%
29,Sameeksha ,24500000,1917,3.908B,9.42%
30,liza koshy ,24400000,31,366.763M,23.35%
31,TikTok_India,24400000,137,665.177M,3.51%
32,jacob sartorius,23700000,1315,1.856B,64.51%
33,DAVID DOBRIK,23400000,113,727.865M,13.01%
34,LIVE TV,23000000,45,55.561M,4.68%
35,Savannah Soutas,22900000,1786,1.875B,50.98%
36,piyanka_mongia,22700000,921,556.423M,10.49%
37,Kira Kosarin,22600000,339,520.150M,30.44%
38,joshrichardzz,22500000,1505,2.153B,17.19%
39,Avneet Kaur ?♥️,22500000,1962,3.598B,8.54%
40,garimachaurasia996,21300000,1214,4.243B,8.03%
41,jiffpom,21200000,751,1.334B,32.99%
42,JasonCoffee,20500000,2221,2.968B,19.43%
43,Junya/じゅんや,20500000,158,47.366M,4.85%
44,marshmello,20400000,212,366.308M,13.23%
45,Kody Antle,20100000,55,407.881M,10.54%
46,lauren godwin??✨,20000000,2083,3.719B,23.14%
47,qpark,19900000,95,301.301M,14.21%
48,KingBach,19800000,131,240.611M,20.28%
49,Kevin Hart,19500000,16,270.145M,14.79%
50,kenz,19500000,630,1.124B,39.28%
51,oye indori,19100000,388,2.525B,7.92%
52,wigofellas,19000000,781,736.004M,14.92%
53,Naim Darrechi?,18900000,615,523.539M,16.80%
54,The Hype House,18900000,7,3.051M,15.52%
55,Daniellecohn,18500000,2052,3.599B,21.35%
56,Mr & mrs choudhary ,18500000,1832,2.595B,8.64%
57,Hannah Stocking,18500000,69,143.155M,20.37%
58,Joey Klaasen,18500000,279,495.812M,19.64%
59,topperguild,18300000,3,359.069M,4.89%
60,arianagrande,18200000,5,92.102M,24.40%
61,@Jordi.koalitic ,18100000,72,1.304B,7.63%
62,LuckydancerLucky✔,18100000,1774,3.861B,11.33%
63,camerondallas,17900000,26,53.377M,9.45%
64,kyle thomas,17800000,3110,694.125M,14.62%
65,Zoe LaVerne,17500000,2351,3.208B,22.86%
66,LARRAY ,17500000,379,517.413M,17.13%
67,Neha Kakkar,17300000,72,1.105B,6.85%
68,Cole LaBrant,17100000,569,836.457M,26.14%
69,Justin Bieber,16900000,49,14.594M,12.36%
70,jonklaasen,16900000,403,309.756M,15.03%
71,Justin Bieber,16800000,14,273.224M,9.17%
72, Dina,16600000,246,688.066M,9.80%
73,Holly H,16600000,790,1.853B,15.86%
74,Cash,16500000,1817,3.658B,15.98%
75,The Card Guy,16200000,909,400.633M,14.72%
76,ROMINA ,16200000,1370,430.179M,18.61%
77,suraj pal singh,16200000,1212,1.332B,10.05%
78,Salice Rose,16100000,414,972.615M,16.88%
79,vishal pandey ??,16100000,1227,2.127B,11.13%
80,Aashika Bhatia,16000000,2084,2.760B,9.15%
81,Abraz I Khan,15900000,945,1.611B,7.70%
82,riteishd,15900000,39,650.585M,7.61%
83,Tayler Holder ,15800000,1281,448.352M,39.84%
84,Hasnain khan ,15700000,1624,4.009B,12.29%
85,SeanDoesMagic,15200000,157,135.732M,13.15%
86,Twin Melody ,15000000,288,1.118B,12.74%
87,Bhavin Bhanushali,14700000,886,1.748B,10.14%
88,Nagma Mirajkar ♥️,14500000,1733,2.504B,9.61%
89,?julia menu garcia?,14500000,1198,1.587B,13.18%
90,Mohak Narang? ,14400000,292,147.520M,12.91%
91,Lance Stewart,14400000,226,169.176M,20.42%
92,Bryce Hall ,14400000,74,30.830M,16.76%
93,Angel Rai,14300000,999,428.220M,9.82%
94,Lele Pons,14300000,30,48.451M,14.36%
95,rebecca zamolo,14200000,1976,3.140B,26.19%
96,Sky & Tami,14200000,2001,3.411B,15.58%
97,Ross Smith,14000000,164,355.589M,13.10%
98,Manjul Khattar ⚡️,14000000,1200,3.112B,8.08%
99,Kirya Kolesnikov ,14000000,352,223.319M,8.06%
100,Lexi Rivera,13900000,20,137.579M,11.54%
