Rank,Username,Country,Followers,Views,Likes,Engagement,Brand Account,Description,Gender,Age,Ethnicity,Famous,Genre,Income,Education,LGBTQ
1,@charlidamelio,U.S.A,78.9m,38.3m,6.1m,16.60%,0,"Dancer, social media personality",Female,16,White,,,,,
2,@addisonre,U.S.A,53.7m,13.8m,2.8m,20.80%,0,"Dancer, social media personality",Female,19,White,,,,,
3,@zachking,U.S.A,47.3m,17.6m,2.8m,16%,0,"Filmmaker, social media personality",Male,30,East Asian,,,,,
4,@lorengray,U.S.A,46.3m,3.2m,622.6k,19.70%,0,"Singer, social media personality",Female,18,White,,,,,
5,@tiktok,U.S.A,45.3m,9.4m,503.0k,5.60%,1,Social media platform,,,,,,,,
6,@riyaz.14,India,43.2m,3.0m,342.6k,11.70%,0,Social media personality,Male,17,South Asian,,,,,
7,@spencerx,U.S.A,39.6m,2.8m,418.9k,15.10%,0,"Beatboxer, social media personality",Male,28,White,,,,,
8,@justmaiko,U.S.A,36.4m,4.2m,793.4k,19.10%,0,"Dancer, social media personality",Male,20,Southeast Asian,,,,,
9,@babyariel,U.S.A,34.5m,2.6m,524.0k,20.30%,0,"Singer, actress, social media personality",Female,20,White,,,,,
10,@willsmith,U.S.A,34.2m,18.8m,2.8m,15.10%,0,Actor,Male,52,Black,,,,,
11,@dixiedamelio,U.S.A,33.8m,13.2m,2.8m,21.60%,0,"Singer, actress, social media personality",Female,19,White,,,,,
12,@brentrivera,U.S.A,31.3m,9.0m,1.6m,18%,0,"Actor, social media personality",Male,22,White,,,,,
13,@jasonderulo,U.S.A,30.5m,6.3m,1.0m,16%,0,"Singer, songwriter, dancer",Male,31,Black,,,,,
14,@_arishfakhan_,India,28.4m,2.2m,285.5k,13.20%,0,"Actress, social media personality",Female,17,South Asian,,,,,
15,@gilmhercroes,Aruba,28.3m,2.0m,177.3k,9%,0,Social media personality,Male,21,White,,,,,
16,@jannat_zubair29,India,28.1m,3.9m,436.2k,11.30%,0,"Actress, social media personality",Female,19,South Asian,,,,,
17,@nishaguragain,India,28.0m,12.8m,553.0k,4.40%,0,Social media personality,Female,23,South Asian,,,,,
18,@therock,U.S.A,28.0m,30.9m,4.6m,15.10%,0,"Actor, former wrestler",Male,48,Black,,,,,
19,@itsjojosiwa,U.S.A,26.9m,4.5m,852.0k,19.20%,0,"Singer, actress, dancer, social media personality",Female,17,White,,,,,
20,@flighthouse,U.S.A,26.2m,2.1m,473.9k,22.70%,1,Digital entertainment brand,,,,,,,,
21,@awezdarbar,India,25.9m,1.5m,192.2k,12.90%,0,"Choreographer, social media personality",Male,27,South Asian,,,,,
22,@stokestwins,U.S.A,25.3m,3.1m,702.6k,22.80%,0,Social media personality,Male,24,East Asian,,,,,
23,@kristenhancher,U.S.A,24.5m,873.1k,154.4k,17.90%,0,"Actress, social media personality",Female,21,White,,,,,
24,@dobretwins,U.S.A,24.5m,3.9m,845.9k,21.90%,0,Social media personality,Male,21,White,,,,,
25,@sameeksha_sud,India,24.4m,1.3m,179.7k,14%,0,"Actress, social media personality",Female,27,South Asian,,,,,
26,@tiktok_india,India,24.2m,2.3m,153.2k,6.90%,1,Social media platform,,,,,,,,
27,@cznburak,Turkey,23.8m,1.2m,144.2k,12.20%,0,Social media personality,Male,62,White,,,,,
28,@kimberly.loaiza,Mexico,23.8m,7.5m,1.4m,18.80%,0,"Singer, social media personality",Female,23,Latinx,,,,,
29,@avani,U.S.A,23.7m,5.0m,1.3m,26.30%,0,Social media personality,Female,18,White,,,,,
30,@jacobsartorius,U.S.A,23.7m,1.4m,239.8k,17.30%,0,"Singer, social media personality",Male,18,White,,,,,
